

    0.199999999999999917E-02   -0.112221043139837390-315   -0.884574651718139648E-01    0.111692297358700570E-03   -0.738909721374511719E+01    0.100898084640502930E+02
    0.199999999999999917E-02   -0.112221043139837390-315    0.456904411315917969E+01    0.282080879859185389E-07   -0.645815658569335938E+01    0.139051485061645508E+02
    0.199999999999999917E-02   -0.112221043139837390-315    0.400325834751129150E+01    0.279490637187837279E-05    0.721886730194091797E+01    0.837724304199218750E+01
    0.199999999999999917E-02   -0.112221043139837390-315    0.926458835601806641E-01    0.564990132583366036E+08   -0.188233947753906250E+01    0.641550827026367188E+01
    0.199999999999999917E-02   -0.112221043139837390-315   -0.329172074794769287E+01    0.196582893414050545E+03   -0.389979457855224609E+01    0.133446340560913086E+02
    0.199999999999999917E-02   -0.112221043139837390-315    0.180040240287780762E+01    0.939070529955509454E+08   -0.771741580963134766E+01    0.987285804748535156E+01
    0.199999999999999917E-02   -0.112221043139837390-315   -0.445981025695800781E+00    0.528753493895404471E-03    0.120318698883056641E+01    0.101796455383300781E+02
    0.199999999999999917E-02   -0.112221043139837390-315   -0.221904635429382324E+01    0.696720495037537262E+03   -0.674338626861572266E+01    0.126169080734252930E+02
    0.199999999999999917E-02   -0.112221043139837390-315    0.248073399066925049E+01    0.313598610871461406E+07   -0.514075946807861328E+01    0.112273988723754883E+02
    0.199999999999999917E-02   -0.112221043139837390-315    0.756144523620605469E+00    0.161861884449292120E+04    0.486633300781250000E+01    0.148145294189453125E+01
    0.199999999999999917E-02   -0.139059828412980354-308    0.174171030521392822E+01    0.860302876125837986E-05   -0.443814849853515625E+01    0.885776615142822266E+01
    0.199999999999999917E-02   -0.139059828412980354-308    0.281807661056518555E+01    0.850650959442355720E-01   -0.444631576538085938E+01    0.116469869613647461E+02
    0.199999999999999917E-02   -0.139059828412980354-308   -0.401467144489288330E+01    0.542722882207124258E+01   -0.116047573089599609E+01    0.144719057083129883E+02
    0.199999999999999917E-02   -0.139059828412980354-308    0.206396698951721191E+01    0.371983145083267397E+01    0.344445133209228516E+01    0.153422937393188477E+02
    0.199999999999999917E-02   -0.139059828412980354-308    0.409720897674560547E+01    0.724254058947013784E+07    0.441816425323486328E+01    0.238267421722412109E+01
