    0.136897936372498003E-01    0.285791287986586064E-04    0.172107425365567945E+00   -0.761709286534644925E+05
    0.170560921393710617E-01    0.292368093321521988E-04    0.187451247590060072E+00   -0.761707113158222783E+05
    0.287262994821147061E-01    0.285704108508405848E-04    0.156161302408776320E+00   -0.761706190487986023E+05
    0.191514631837716720E-01    0.324840599506137442E-04    0.195392197686471342E+00   -0.761702438007432793E+05
    0.145823979082551416E-01    0.295727806446059247E-04    0.188423378847864031E+00   -0.761700874678549735E+05
    0.292342291019562633E-01    0.305567346565583154E-04    0.169426649478277458E+00   -0.761699762299548893E+05
    0.194405252816701006E-01    0.275296168647428733E-04    0.163424252409357984E+00   -0.761699014128436829E+05
    0.224796339772172539E-01    0.324438847113048815E-04    0.190231980133902440E+00   -0.761696400030476361E+05
    0.237250643400801660E-01    0.274299900186257388E-04    0.151412969280280751E+00   -0.761694169924697781E+05
    0.204884098735096318E-01    0.324156545467782086E-04    0.193045598471012658E+00   -0.761693677474854339E+05
    0.208415451972676601E-01    0.291882399038994693E-04    0.182786174320890643E+00   -0.761693598259191058E+05
    0.208252071825820520E-01    0.309381137887844193E-04    0.170554218788881967E+00   -0.761690275195041322E+05
    0.273579504620500638E-01    0.287426607869758031E-04    0.162720015861555711E+00   -0.761690151998426154E+05
    0.227873994340331114E-01    0.322677433487799923E-04    0.187538795458672303E+00   -0.761690137181183527E+05
    0.264020449461228393E-01    0.314705205647788800E-04    0.175748091671451778E+00   -0.761687474100601830E+05
    0.148065668259393171E-01    0.295973860854404376E-04    0.173922684933202121E+00   -0.761687300422886328E+05
    0.189730964524414403E-01    0.321076110164468734E-04    0.191201322046676975E+00   -0.761686966963292653E+05
    0.163882219931113619E-01    0.316089539163788637E-04    0.193302684793931090E+00   -0.761686519933573145E+05
    0.224367822226090030E-01    0.314253672757627454E-04    0.174747407366415697E+00   -0.761685909164122131E+05
    0.159470756984870302E-01    0.302993580439675983E-04    0.175825592904474526E+00   -0.761684746416609269E+05
    0.150886885292988004E-01    0.306116347122217886E-04    0.183334856801714102E+00   -0.761684525118062738E+05
    0.180530675124218609E-01    0.293704388805598325E-04    0.185854355611072636E+00   -0.761684334655024286E+05
    0.175277618386729915E-01    0.312739096428423164E-04    0.182597289678128161E+00   -0.761680665124682710E+05
    0.170443105116058376E-01    0.300692490913433765E-04    0.191226016460844139E+00   -0.761680173258903378E+05
    0.203632965942306191E-01    0.301027151008314221E-04    0.189453898035606610E+00   -0.761678076228357968E+05
    0.145551172948158170E-01    0.297315699775812500E-04    0.182916577921076184E+00   -0.761678057466020691E+05
    0.176937143024058670E-01    0.280111472732884842E-04    0.158169047825894554E+00   -0.761677870335581974E+05
    0.175682800199258929E-01    0.304965118883480010E-04    0.173842347772443229E+00   -0.761677654503095255E+05
    0.260095029797657654E-01    0.302675688500599318E-04    0.179885960069805950E+00   -0.761677367192757374E+05
    0.240074014219534559E-01    0.293782708079298652E-04    0.155358081564827222E+00   -0.761675755786654627E+05
    0.252557405651993548E-01    0.315384565588112329E-04    0.185575288237481817E+00   -0.761675606563194451E+05
    0.252131184530553637E-01    0.287521019891427597E-04    0.167702778793483248E+00   -0.761675593714808347E+05
    0.176373424050136965E-01    0.309489795721918712E-04    0.195471649665706071E+00   -0.761675572402186081E+05
    0.196269632617499697E-01    0.319876415453375219E-04    0.190883236842186943E+00   -0.761675466533249419E+05
